Starting ./speedtracker.sh Script On Monday 2019-07-29 06:49:22

Monday 2019-07-29 06:49:44	Download: 92.97 Mbit/s
Monday 2019-07-29 06:49:44	Upload: 11.57 Mbit/s
Monday 2019-07-29 06:55:06	Download: 99.66 Mbit/s
Monday 2019-07-29 06:55:06	Upload: 12.00 Mbit/s
Monday 2019-07-29 07:00:29	Download: 136.68 Mbit/s
Monday 2019-07-29 07:00:29	Upload: 11.75 Mbit/s
Monday 2019-07-29 07:05:51	Download: 172.83 Mbit/s
Monday 2019-07-29 07:05:51	Upload: 11.62 Mbit/s
Monday 2019-07-29 07:11:13	Download: 87.70 Mbit/s
Monday 2019-07-29 07:11:13	Upload: 12.00 Mbit/s
Monday 2019-07-29 07:16:35	Download: 105.15 Mbit/s
Monday 2019-07-29 07:16:35	Upload: 11.95 Mbit/s
Monday 2019-07-29 07:21:58	Download: 146.28 Mbit/s
Monday 2019-07-29 07:21:58	Upload: 11.54 Mbit/s
Monday 2019-07-29 07:27:20	Download: 113.77 Mbit/s
Monday 2019-07-29 07:27:20	Upload: 11.90 Mbit/s
Monday 2019-07-29 07:32:42	Download: 101.41 Mbit/s
Monday 2019-07-29 07:32:42	Upload: 11.94 Mbit/s
Monday 2019-07-29 07:38:04	Download: 79.93 Mbit/s
Monday 2019-07-29 07:38:04	Upload: 11.58 Mbit/s
Monday 2019-07-29 07:43:27	Download: 92.78 Mbit/s
Monday 2019-07-29 07:43:27	Upload: 11.90 Mbit/s
Monday 2019-07-29 07:48:49	Download: 109.08 Mbit/s
Monday 2019-07-29 07:48:49	Upload: 11.72 Mbit/s
Passing Hour Number: 1

Monday 2019-07-29 07:54:11	Download: 84.18 Mbit/s
Monday 2019-07-29 07:54:11	Upload: 11.74 Mbit/s
Monday 2019-07-29 07:59:33	Download: 84.81 Mbit/s
Monday 2019-07-29 07:59:33	Upload: 11.74 Mbit/s
Monday 2019-07-29 08:04:55	Download: 139.18 Mbit/s
Monday 2019-07-29 08:04:55	Upload: 11.78 Mbit/s
Monday 2019-07-29 08:10:18	Download: 87.05 Mbit/s
Monday 2019-07-29 08:10:18	Upload: 11.79 Mbit/s
Monday 2019-07-29 08:15:40	Download: 87.31 Mbit/s
Monday 2019-07-29 08:15:40	Upload: 11.70 Mbit/s
Monday 2019-07-29 08:21:02	Download: 97.95 Mbit/s
Monday 2019-07-29 08:21:02	Upload: 12.00 Mbit/s
Monday 2019-07-29 08:26:24	Download: 91.49 Mbit/s
Monday 2019-07-29 08:26:24	Upload: 11.70 Mbit/s
Monday 2019-07-29 08:31:46	Download: 75.70 Mbit/s
Monday 2019-07-29 08:31:46	Upload: 11.95 Mbit/s
Monday 2019-07-29 08:37:08	Download: 94.55 Mbit/s
Monday 2019-07-29 08:37:08	Upload: 11.90 Mbit/s
Monday 2019-07-29 08:42:31	Download: 94.99 Mbit/s
Monday 2019-07-29 08:42:31	Upload: 11.50 Mbit/s
Monday 2019-07-29 08:47:53	Download: 112.31 Mbit/s
Monday 2019-07-29 08:47:53	Upload: 11.88 Mbit/s
Passing Hour Number: 2

Monday 2019-07-29 08:53:15	Download: 82.93 Mbit/s
Monday 2019-07-29 08:53:15	Upload: 11.75 Mbit/s
Monday 2019-07-29 08:58:37	Download: 119.50 Mbit/s
Monday 2019-07-29 08:58:37	Upload: 11.84 Mbit/s
Monday 2019-07-29 09:04:00	Download: 100.08 Mbit/s
Monday 2019-07-29 09:04:00	Upload: 11.72 Mbit/s
Monday 2019-07-29 09:09:22	Download: 104.20 Mbit/s
Monday 2019-07-29 09:09:22	Upload: 11.64 Mbit/s
Monday 2019-07-29 09:14:44	Download: 116.38 Mbit/s
Monday 2019-07-29 09:14:44	Upload: 11.79 Mbit/s
