Date Time	Download Speed
2019-07-29 20:49:27	127.52	
2019-07-29 20:54:49	113.85	
2019-07-29 21:00:12	79.57	
2019-07-29 21:05:34	94.90	
2019-07-29 21:10:56	103.53	
2019-07-29 21:16:18	98.61	
2019-07-29 21:21:40	144.51	
2019-07-29 21:27:03	110.88	
2019-07-29 21:32:25	113.12	
2019-07-29 21:37:49	135.28	
2019-07-29 21:43:11	99.88	
2019-07-29 21:48:33	93.91	
2019-07-29 21:53:55	100.91	
2019-07-29 21:59:17	145.60	
2019-07-29 22:04:40	122.51	
2019-07-29 22:10:03	102.54	
2019-07-29 22:15:25	72.65	
2019-07-29 22:20:47	162.00	
2019-07-29 22:26:10	156.30	
2019-07-29 22:31:32	148.94	
2019-07-29 22:36:55	94.95	
2019-07-29 22:42:27	138.83	
2019-07-29 22:47:49	97.89	
2019-07-29 22:53:11	115.26	
2019-07-29 22:58:33	119.20	
2019-07-29 23:03:55	117.69	
2019-07-29 23:09:17	116.08	
2019-07-29 23:14:40	140.95	
2019-07-29 23:20:02	113.86	
2019-07-29 23:25:25	151.69	
2019-07-29 23:30:47	77.76	
2019-07-29 23:36:09	84.63	
2019-07-29 23:41:31	176.03	
2019-07-29 23:46:53	149.84	
2019-07-29 23:52:15	157.00	
2019-07-29 23:57:37	126.81	
2019-07-30 00:03:10	151.19	
2019-07-30 00:08:32	143.29	
2019-07-30 00:13:54	126.40	
2019-07-30 00:19:17	98.08	
2019-07-30 00:24:39	112.01	
2019-07-30 00:30:02	98.15	
2019-07-30 00:35:25	89.75	
2019-07-30 00:40:47	106.44	
2019-07-30 00:46:11	106.79	
2019-07-30 00:51:33	119.07	
2019-07-30 00:56:56	157.53	
2019-07-30 01:02:19	146.34	
2019-07-30 01:07:41	153.20	
2019-07-30 01:13:04	118.08	
2019-07-30 01:18:27	140.33	
2019-07-30 01:23:50	124.30	
2019-07-30 01:29:13	142.09	
2019-07-30 01:34:37	97.24	
2019-07-30 01:39:59	108.99	
2019-07-30 01:45:22	111.47	
2019-07-30 01:50:44	93.37	
2019-07-30 01:56:07	118.18	
2019-07-30 02:01:30	161.63	
2019-07-30 02:06:53	107.40	
2019-07-30 02:12:16	154.66	
2019-07-30 02:17:39	146.49	
2019-07-30 02:23:02	112.99	
2019-07-30 02:28:26	139.54	
2019-07-30 02:33:48	134.65	
2019-07-30 02:39:11	115.06	
2019-07-30 02:44:34	121.22	
2019-07-30 02:49:56	121.20	
2019-07-30 02:55:19	80.49	
2019-07-30 03:00:41	72.00	
2019-07-30 03:06:04	103.08	
2019-07-30 03:11:26	77.09	
2019-07-30 03:16:49	83.81	
2019-07-30 03:22:11	82.66	
2019-07-30 03:27:34	137.73	
2019-07-30 03:33:02	115.39	
2019-07-30 03:38:25	132.60	
2019-07-30 03:43:48	132.70	
2019-07-30 03:49:10	87.86	
2019-07-30 03:54:33	83.76	
2019-07-30 03:59:55	93.05	
2019-07-30 04:05:17	78.67	
2019-07-30 04:10:41	172.01	
2019-07-30 04:16:03	108.74	
2019-07-30 04:21:26	154.83	
2019-07-30 04:26:48	159.63	
2019-07-30 04:32:10	87.71	
2019-07-30 04:37:33	95.87	
2019-07-30 04:42:55	125.92	
2019-07-30 04:48:17	88.60	
2019-07-30 04:53:39	145.88	
2019-07-30 04:59:01	79.67	
2019-07-30 05:04:24	125.70	
2019-07-30 05:09:46	163.41	
2019-07-30 05:15:09	101.63	
2019-07-30 05:20:31	93.60	
2019-07-30 05:25:53	123.34	
2019-07-30 05:31:16	84.48	
2019-07-30 05:36:38	158.49	
2019-07-30 05:42:00	150.43	
2019-07-30 05:47:22	99.80	
2019-07-30 05:52:44	117.19	
2019-07-30 05:58:07	92.18	
2019-07-30 06:03:29	102.31	
2019-07-30 06:08:51	78.42	
